pp,p_beta,p,p_corrected
0.999999999984368,0.999983382182635,0.85509954157291,0.907721051823551
0.999996800949948,0.990311234595838,0.483250918071077,0.733353648047294
0.999993955652617,0.997784027049606,0.477133867480056,0.733353648047294
2.76025881591552E-15,5.32595305415219E-08,0.00352199485059792,0.0405029407818761
0.999794375030371,0.999891003531611,0.409015442562562,0.695796084761411
8.37132294453979E-09,0.331500952530271,0.244188229982084,0.561632928958794
1.14843020135135E-15,4.59347428136717E-07,0.00521725176012674,0.047998716193166
6.98059391658271E-13,2.36216619749197E-07,0.0516831313704066,0.194029381332674
2.08956527285659E-15,1.98549700513067E-07,0.0152730552458141,0.0958037101782887
3.98053812944976E-13,5.6548555715365E-06,0.0775749959160631,0.261106083815041
1,0.999998314604152,0.84947944452831,0.907721051823551
0.999999998906347,0.999936132592189,0.593067917899141,0.79459585116584
0.999999999999992,0.999957538198573,0.95222996129442,0.95222996129442
0.999999997151726,0.9936681885858,0.646988475986076,0.819123024642922
4.68742778601229E-12,8.23729636213229E-06,0.141228590459385,0.406032197570731
0.999999999999998,0.999986457154814,0.91311897625195,0.923176070953036
1.88744490934716E-21,9.12271240994442E-06,3.38108978836977E-07,1.5553013026501E-05
1,0.999994803730693,0.916486389279464,0.923176070953036
1.8641012860704E-13,3.82697743228671E-06,0.0267965623289696,0.127514675910269
0.999999999990769,0.999999637451339,0.675429971324857,0.832226214668128
2.44392790762391E-12,6.22497366658094E-05,0.148032104789189,0.408568609218161
0.0108631864132748,0.10428099285613,0.342659800981473,0.656764618547823
2.66578851468703E-10,0.00205884178325694,0.118176743837656,0.362408681102146
4.29089111673157E-16,3.11337554096943E-07,0.0106152577431926,0.078691140443531
1.91181088673285E-07,0.388828429013687,0.205251923593359,0.514995735561518
3.50597265480557E-05,0.506503979518893,0.306628295123462,0.631562757119966
6.77695268715336E-13,2.29410738506378E-06,0.138564538343716,0.406032197570731
0.999999996622355,0.999757921537166,0.481760285764995,0.733353648047294
5.99109160062421E-13,6.60541836371919E-09,0.0114045131077581,0.078691140443531
0.999999999975005,0.999995142019857,0.706188062110005,0.859329632283227
7.26808071842065E-16,7.48043484496795E-09,0.0062105840361369,0.0535662873116808
1.05180476129441E-13,3.69642620034825E-06,0.0622376663395027,0.214719948871284
2.10202284172195E-09,0.00202395392081385,0.174870345866664,0.464078994799993
0.999645743900853,0.999367913668788,0.392398202167631,0.695796084761411
1.04509212101985E-09,0.00263622122067523,0.235060712823782,0.559282385684171
5.97731684818881E-07,2.76455391078585E-05,0.280950065006823,0.605798577670963
0.999999999989251,0.999994402035884,0.674667850617122,0.832226214668128
0.999999999923753,0.999949377392678,0.710966468222538,0.859329632283227
3.71071934505158E-10,0.463947316602402,0.265311147126428,0.590531262958824
3.65224856815071E-13,1.22309912401595E-05,0.113745617358094,0.356747618077658
0.999999999999993,0.999985150886829,0.904145828271684,0.923176070953036
0.999999999988898,0.99999899601909,0.75617532900505,0.880968473327807
0.99999999999935,0.999970227357063,0.745705360131883,0.879549911950426
3.7458397621465E-11,0.0196788295466405,0.234075436634539,0.559282385684171
5.07968019450166E-05,0.398651799712293,0.322377856143179,0.644755712286357
2.38707452006815E-14,1.18770711012039E-07,0.0299516029892507,0.137344477779754
0.999844074228405,0.0826512273859502,0.435418662530141,0.711132805953521
0.999999999969965,0.98533236777766,0.567766128123461,0.78449291043551
4.63925404007808E-15,1.09185635276005E-07,0.0308527450084954,0.137344477779754
0.999999998007378,0.999966567560175,0.574157854739033,0.78449291043551
0.999999999476865,0.999632345179726,0.507162288831668,0.734253724639827
0.999986653007926,0.999843819403084,0.438016583377169,0.711132805953521
0.999951991700047,0.981262673525315,0.431919719964372,0.711132805953521
0.999068479006853,0.993831362389768,0.387335410798173,0.695796084761411
0.999999999999214,0.999948513342154,0.841351861397214,0.907721051823551
0.999999999998554,0.999976680285411,0.759675712507312,0.880968473327807
0.99999999999602,0.999896206570476,0.786813912260553,0.890002622065216
0.994459020398618,0.964342544428509,0.336846873422911,0.656488516674102
7.68820438871733E-17,1.71008474109386E-07,0.0327639432909227,0.141294505442104
0.999999999999642,0.999980004268905,0.736246307187539,0.875879227516211
1.26468134364347E-14,1.3792115069235E-05,0.0132701432041117,0.0872037981984483
0.99999999897371,0.999982280035489,0.495294185627453,0.734253724639827
1.58118956178395E-08,0.982260167563735,0.254951753125086,0.5767760972338
0.982386549469322,0.993665204782236,0.410662411602451,0.695796084761411
1.95187482978385E-15,1.49828520365934E-06,0.0043100316532495,0.0457526437037254
2.93150181399081E-17,8.92872557107851E-07,0.0048315516569654,0.0476252949043732
0.999999999004945,0.999994637678881,0.56859887192518,0.78449291043551
9.27361379957965E-20,9.4981012111739E-06,3.58515887014921E-05,0.000908409234811423
0.999999999999996,0.9999975965118,0.716108026902689,0.859329632283227
0.999999999998795,0.999981585740097,0.769515343321978,0.882902362669997
8.41415435075831E-14,3.9297234441236E-06,0.0491547992519481,0.194029381332674
0.99999999990869,0.999990825790693,0.66499767438355,0.832226214668128
0.0104976163742244,0.0747355946127535,0.337758584665661,0.656488516674102
0.0760900509699349,0.96600547511388,0.354478890003248,0.670110778362304
0.999999999408984,0.999845690675221,0.554717005142057,0.78449291043551
0.999998737773646,0.501387160187411,0.508764000433673,0.734253724639827
3.81735404309317E-13,1.45629426939762E-07,0.0248013216787983,0.127514675910269
0.999999999999716,0.999996516823127,0.774139028138186,0.882902362669997
0.929063658179356,0.982395100052228,0.376880568305435,0.693460245682001
0.999994021707699,0.999661517887958,0.444061208947804,0.712563335288336
