met_names,R2,slope_Lnpval,ciL_slope_Lnpval,ciU_slope_Lnpval,intercept_Lnpval,ciL_intercept_Lnpval,ciU_intercept_Lnpval,pv-b,pvalb_beta,pvMaxSize,pvMaxSize_corrected
M1,0.9903718220345314,-1.290550862323055,-1.3802091197306081,-1.200892604915502,-0.8108706114618836,-0.8478829330399509,-0.7738582898838162,1.0222114518325454e-11,7.363951064891014e-05,0.10666955720498199,0.6290607427367007
M2,0.7772438797149678,0.4436169654837453,0.2762820512801931,0.6109518796872975,-1.27640431555025,-1.3454827678291856,-1.2073258632713144,0.9999251759025136,0.8886808622689668,0.3770406762622063,0.7187351108299909
M3,0.9942422353412308,0.7431318517144758,0.703285461973408,0.7829782414555436,-1.0569995599377784,-1.0734487686717546,-1.0405503512038021,0.9999999999992195,0.9999897428734048,0.7876280188942819,0.9087902947583163
M4,0.9917247625041747,0.5260658093595749,0.49220658674772966,0.5599250319714202,-1.001814366977057,-1.01579198010416,-0.9878367538499541,0.9999999999952084,0.9999625362673743,0.5763272512187075,0.7943868407202881
M5,0.9187898522344972,-0.7284457805088892,-0.8810394577535333,-0.5758521032642451,-0.9471833104630966,-1.010176351107257,-0.8841902698189361,4.5015563056832775e-07,0.9999992169690236,0.14059960855884387,0.6593636815173368
M6,0.9941707261023199,0.6824856687675023,0.6456632313144914,0.7193081062205131,-1.0207274213126087,-1.035928295562305,-1.0055265470629124,0.9999999999991698,0.9999999642857903,0.739023503135245,0.8894442161627727
M7,0.9887326235856075,0.7623288168856666,0.7049889661674023,0.8196686676039309,-1.068705749470634,-1.0923765306723663,-1.0450349682689017,0.9999999999775491,0.9643574723571802,0.8134082013715578,0.9087902947583163
M8,0.9829343783473798,0.723271594022312,0.6561221448685853,0.7904210431760387,-1.07919812298441,-1.1069184588210783,-1.0514777871477419,0.9999999998206124,0.999292557051712,0.9807758354299986,0.9954142807349239
M10,0.23836468634839003,-0.04695116274855837,-0.10608569718718393,0.012183371690067182,-0.9258623810380538,-0.9502740355615481,-0.9014507265145596,0.05365626092391441,0.9999997053149159,0.2920333077865376,0.6706352662895824
M11,0.9094382953398841,0.2725670824778681,0.21196307648438908,0.33317108847134713,-1.0293635936738919,-1.0543818688847684,-1.0043453184630153,0.9999992204155312,0.9997637261399767,0.42422850314305227,0.7201452164053405
M12,0.9160113699824223,0.1987792788875392,0.15636879977551602,0.2411897579995624,-0.9466739048314469,-0.9641816094931468,-0.9291662001697469,0.9999994667198432,0.9999999127924338,0.4023324708746133,0.7187351108299909
M13,0.9359662139018193,0.2057348362365552,0.16781865494370826,0.24365101752940213,-1.0002663517756933,-1.0159187404747507,-0.9846139630766361,0.9999998638432868,0.9997859991225205,0.37570578192963155,0.7187351108299909
M14,0.9895994797616259,0.5831066615204524,0.5409866911555188,0.6252266318853861,-1.0140476891023558,-1.031435467239947,-0.9966599109647644,0.9999999999849604,0.9999664305132291,0.6440457878656524,0.8186002537357825
M15,0.9935876959114707,0.8184307590915498,0.7721044023725393,0.8647571158105604,-1.0515742578785259,-1.0706984976530078,-1.032450018104044,0.9999999999986624,0.9999130683028563,0.9881514868820729,0.9954711275256438
M16,0.7243469796405038,-0.49317082391011047,-0.707532763590687,-0.278808884229534,-1.4039334557163539,-1.492425394718588,-1.3154415167141198,0.00022333326749810452,0.000898269680500113,0.16500565913216844,0.6706352662895824
M18,0.9994989145658617,-7.228151466505654,-7.3421854306828225,-7.114117502328486,-0.8935204303376686,-0.9405954223683705,-0.8464454383069667,3.887945563485966e-18,9.00005852545501e-06,0.00036651752665600306,0.009992090045215877
M19,0.9729052196740351,0.4643781113450175,0.40977447787014887,0.5189817448198861,-1.062075085911937,-1.0846163141260434,-1.0395338576978306,0.9999999981825587,0.9953249763517593,0.5202263402150258,0.7690302420569946
M20,0.9435351756600371,-1.3631145869871553,-1.598069515650963,-1.1281596583233475,-1.287147834509008,-1.3841408792937946,-1.1901547897242213,7.234984553714613e-08,1.2531462757518547e-08,0.11101071930647659,0.6290607427367007
M23,0.9820065596881289,0.7720535418323788,0.6984176450136369,0.8456894386511208,-1.0495550014556894,-1.0799530436611702,-1.0191569592502085,0.9999999997661575,0.9995933836929981,0.8930376730130665,0.9271230803799774
M24,0.9964988568305846,-3.3424466098666703,-3.4820427027472944,-3.202850516986046,-1.1153728882481568,-1.173000324137895,-1.0577454523584187,6.48267813214105e-14,3.9076560746461726e-07,0.015058268110776724,0.21632337796222398
M25,0.9898058867493084,0.43407098157669716,0.4030323392940061,0.4651096238593882,-1.0066737555350564,-1.0194869892820775,-0.9938605217880354,0.9999999999863959,0.9999982265592537,0.515243208851665,0.7690302420569946
M26,0.0025741564674441886,-0.00484875430062881,-0.07209921547342531,0.062401706872167687,-0.9792202553793642,-1.0069822905468153,-0.9514582202119131,0.43778453276005574,0.8773092430954194,0.3333955542150481,0.677290359993952
M27,0.6089353297787019,0.7402888245869135,0.3222831765215561,1.1582944726522708,-1.5084594648502625,-1.6810186904586346,-1.3359002392418904,0.9986260700038261,0.0016082053023355378,0.7803756193862849,0.9087902947583163
M29,0.9878944975066912,0.5650755010546042,0.521001258459534,0.6091497436496744,-1.1034291898747355,-1.1216237219502727,-1.0852346577991983,0.9999999999678495,0.9999792227297312,0.6160523493334835,0.7979344715176548
M30,0.9736992352016773,0.7643647135029014,0.6758501655690369,0.8528792614367658,-1.105502267507712,-1.1420424480465037,-1.0689620869689203,0.9999999984342334,0.9997751133223655,0.8299982489064115,0.9087902947583163
M31,0.6568472465731594,-0.0967472986365695,-0.14601844321649282,-0.04747615405664617,-0.9445452445996007,-0.9648851385529482,-0.9242053506462531,0.0006939879363018228,0.9970742541305526,0.28745103245698295,0.6706352662895824
M32,0.9965263404632023,-2.4876857465675832,-2.5911730338488916,-2.384198459286275,-0.7845281507715458,-0.8272493107276946,-0.741806990815397,6.232128044253734e-14,1.5276568003094684e-05,0.037118385517631594,0.3365400286931931
M33,0.9912804657498135,0.554229535515466,0.517604311683171,0.5908547593477611,-1.0039109077800017,-1.0190303691831786,-0.9887914463768248,0.9999999999937752,0.9999880032380412,0.5982006804863895,0.7943868407202881
M34,0.9948881468269043,-1.6546493665489694,-1.7382193442145912,-1.5710793888833476,-0.8457072735587334,-0.8802062586725277,-0.8112082884449392,4.304171087917822e-13,0.00019198300298755577,0.07567204569643864,0.5717443452619808
M35,0.9637678932759722,0.6380309314781523,0.5508654463777137,0.7251964165785908,-1.1102758045460495,-1.1462590709883202,-1.0742925381037787,0.9999999921980988,0.008737787255843742,0.5721457410104676,0.7943868407202881
M36,0.9318663715073543,0.30644836857816693,0.2480630701413007,0.36483366701503317,-0.9984882185050472,-1.022590576766972,-0.9743858602431223,0.9999998139678864,0.4318460805245559,0.47925633837364223,0.7537264094362467
